Area,Image
3.0849,G10.V-01-Image Export-12_c2
1.5438,G10.V-01-Image Export-12_c2
0.1424,G10.V-01-Image Export-12_c2
224.1951,G10.V-01-Image Export-12_c2
0.2920,G10.V-01-Image Export-12_c2
2.2216,G10.V-01-Image Export-12_c2
0.0936,G10.V-01-Image Export-12_c2
0.0973,G10.V-01-Image Export-12_c2
0.0004,G10.V-01-Image Export-12_c2
1.0406,G10.V-01-Image Export-12_c2
0.5241,G10.V-01-Image Export-12_c2
0.0161,G10.V-01-Image Export-12_c2
0.7464,G10.V-01-Image Export-12_c2
1.1106,G10.V-01-Image Export-12_c2
0.7156,G10.V-01-Image Export-12_c2
2.5341,G10.V-01-Image Export-12_c2
0.8792,G10.V-01-Image Export-12_c2
3.4265,G10.V-01-Image Export-12_c2
0.6939,G10.V-01-Image Export-12_c2
0.1241,G10.V-01-Image Export-12_c2
0.2610,G10.V-01-Image Export-12_c1
0.1086,G10.V-01-Image Export-12_c1
0.0930,G10.V-01-Image Export-12_c1
2.5155,G10.V-01-Image Export-12_c1
1.6210,G10.V-01-Image Export-12_c1
1.6776,G10.V-01-Image Export-12_c1
1.3207,G10.V-01-Image Export-12_c1
4.9196,G10.V-01-Image Export-12_c1
0.4200,G10.V-01-Image Export-12_c1
2.3798,G10.V-01-Image Export-12_c1
17.4721,G10.V-01-Image Export-12_c1
0.8614,G10.V-01-Image Export-12_c1
0.2947,G10.V-01-Image Export-12_c1
0.2281,G10.V-01-Image Export-12_c1
0.8843,G10.V-01-Image Export-12_c1
0.7396,G10.V-01-Image Export-12_c1
0.8285,G10.V-01-Image Export-12_c1
0.4871,G10.V-01-Image Export-12_c1
0.4323,G10.V-01-Image Export-12_c1
3.5240,G10.V-01-Image Export-12_c1
0.6645,G10.V-01-Image Export-12_c1
1.9516,G10.V-01-Image Export-12_c1
0.9145,G10.V-01-Image Export-12_c1
0.7408,G10.V-01-Image Export-12_c1
2.9077,G10.V-01-Image Export-12_c1
0.7605,G10.V-01-Image Export-12_c1
1.1853,G10.V-01-Image Export-12_c1
0.2836,G10.V-01-Image Export-12_c1
0.0884,G10.V-01-Image Export-12_c1
0.0188,G10.V-02-Image Export-13_c2
0.0078,G10.V-02-Image Export-13_c2
0.0268,G10.V-02-Image Export-13_c2
0.0317,G10.V-02-Image Export-13_c2
0.1024,G10.V-02-Image Export-13_c2
0.0871,G10.V-02-Image Export-13_c2
0.2522,G10.V-02-Image Export-13_c2
0.0107,G10.V-02-Image Export-13_c2
0.1488,G10.V-02-Image Export-13_c2
0.3296,G10.V-02-Image Export-13_c2
0.1825,G10.V-02-Image Export-13_c2
0.2008,G10.V-02-Image Export-13_c2
0.0102,G10.V-02-Image Export-13_c2
214.1174,G10.V-02-Image Export-13_c2
0.0222,G10.V-02-Image Export-13_c2
